ID,SIZE,PREDICTED,ACTUAL
5,137,0.08,NO
5,252,0.0,NO
5,362,1.0,NO
5,81,0.02,NO
5,165,1.0,NO
5,81,0.02,NO
5,107,0.0,NO
5,163,1.0,NO
5,616,1.0,NO
5,371,0.1,NO
5,138,0.03,NO
5,58,0.8577773337773338,NO
5,844,0.01,NO
5,1272,0.99,NO
5,245,0.43,NO
5,65,0.12,NO
5,299,0.86,NO
5,472,0.32,NO
5,441,0.0,NO
5,76,0.01,NO
5,199,1.0,NO
5,527,0.02,NO
5,35,0.0,NO
5,133,0.1,NO
5,32,0.0,NO
5,164,1.0,YES
5,148,0.04,NO
5,343,0.3430952380952382,NO
5,164,1.0,YES
5,55,0.0,NO
5,126,0.0,NO
5,78,0.4297939911395792,NO
5,110,0.20497835497835498,NO
5,80,0.83,NO
5,76,0.01,NO
5,41,0.0,NO
5,63,0.0,NO
5,106,0.0,NO
5,72,0.0,NO
5,86,0.9935555555555555,NO
5,48,0.0,NO
5,63,0.0,NO
5,375,0.15,NO
5,131,0.0,NO
5,146,0.04,NO
5,208,0.99,NO
5,150,0.59,NO
5,38,0.0,NO
5,43,0.0,NO
5,47,0.0,NO
5,32,0.0,NO
5,93,1.0,NO
5,113,0.3,NO
5,282,0.07,NO
5,251,0.0,NO
5,251,0.0,NO
5,91,0.66,NO
5,86,0.9935555555555555,NO
5,42,0.0,NO
5,106,0.0,NO
5,34,0.0,NO
5,53,0.0,NO
5,40,0.0,NO
5,98,0.0,NO
5,80,0.83,NO
5,39,0.0,NO
5,34,0.0,NO
5,38,0.0,NO
5,103,0.86,NO
5,518,0.95,NO
5,46,0.0,NO
5,141,0.01,NO
5,106,0.0,NO
5,57,0.6993011433011433,NO
5,210,0.0,NO
5,525,0.02,NO
5,88,0.0,NO
5,833,0.0,NO
5,457,0.0,NO
5,99,0.0,NO
5,151,0.0,NO
5,52,0.0,NO
5,1143,0.69,YES
5,39,0.0,NO
5,89,0.01,NO
5,100,0.05,NO
5,84,0.9865303030303031,NO
5,641,0.97,YES
5,68,0.0,NO
5,312,0.03,NO
5,101,0.02,NO
5,78,0.4297939911395792,NO
5,81,0.02,NO
5,125,0.04,NO
5,112,0.5621121933621934,NO
5,1311,0.52,YES
5,826,0.27,YES
5,283,0.14,NO
5,103,0.86,NO
5,29,0.0,NO
5,194,0.02,YES
5,72,0.0,NO
5,36,0.0,NO
5,72,0.0,NO
5,121,0.13,YES
5,68,0.0,YES
5,133,0.1,NO
5,1112,1.0,NO
5,70,0.0,NO
5,47,0.0,NO
5,286,0.66,YES
5,72,0.0,NO
5,1047,0.56,YES
5,506,0.15,YES
5,132,0.0,NO
5,218,0.92,YES
5,37,0.0,NO
5,88,0.37,YES
5,94,0.91,NO
5,132,0.0,NO
5,62,0.02,YES
5,242,0.43,YES
5,161,1.0,YES
5,119,0.02,NO
5,113,0.3,NO
5,688,0.29,YES
5,114,0.0,NO
5,82,0.0,NO
5,124,0.74,NO
5,92,0.01,NO
5,82,0.0,NO
5,138,0.03,NO
5,117,0.0,NO
5,76,0.01,NO
5,236,0.73,YES
5,548,0.23,YES
5,287,0.66,YES
5,60,0.02,NO
5,115,0.01,YES
5,325,0.98,NO
5,53,0.0,NO
5,957,0.42,YES
5,187,0.39,YES
5,26,0.0,NO
5,744,0.31,YES
5,429,0.13,YES
5,50,0.0,NO
5,470,0.18,NO
5,41,0.0,NO
5,109,0.0,YES
5,89,0.01,NO
5,34,0.0,NO
5,248,1.0,YES
5,671,0.28,YES
5,53,0.0,NO
5,230,0.11,YES
5,42,0.0,NO
5,31,0.0,NO
5,36,0.0,NO
5,169,0.03,YES
5,68,0.0,NO
5,64,0.12,NO
5,82,0.0,NO
5,44,0.0,NO
5,628,0.33,YES
5,34,0.0,NO
5,711,0.35,YES
5,279,0.11,NO
5,148,0.04,YES
5,67,0.0,NO
5,45,0.0,NO
5,33,0.0,NO
5,79,0.12,NO
5,38,0.0,NO
5,33,0.0,NO
5,69,0.0,YES
5,272,0.07,NO
5,57,0.11833333333333333,NO
5,33,0.24,NO
5,129,0.003333333333333333,NO
5,583,0.09,NO
5,180,0.71,NO
5,33,0.0,NO
5,333,1.0,NO
5,40,0.0,NO
5,107,0.0,NO
5,128,0.3181904761904762,NO
5,38,0.0,NO
5,192,1.0,NO
5,294,0.89,NO
5,109,0.0,NO
5,38,0.0,NO
