Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
BOOKKEEPER_RandomForestfalseNotSettrue2.csv,1,0.3333333333333333,0.07407407407407407,0.12121212121212122,0.2884447674685805,0.7879227053140095,0.13740939174283012,0.041160787281682466,0.1,0.1875,0.2625,0.35,0.425,0.475,0.55,0.5875,0.6625,0.675,0.675,0.675,0.675,0.675,0.675,0.7375,0.8625,0.9375,1.0,0.2239140153778111,0.1,0.1875,0.2625,0.35,0.425,0.475,0.55,0.5875,0.6625,0.675,0.675,0.675,0.675,0.675,0.675,0.7375,0.8625,0.9375,1.0,0.3264645182828202,0.18604651162790697,0.2777777777777778,0.33870967741935487,0.4057971014492753,0.45945945945945954,0.4871794871794871,0.54320987654321,0.5802469135802469,0.654320987654321,0.6666666666666667,0.6666666666666667,0.5263157894736843,0.3414634146341464,0.06896551724137934,0,0,0,0,0.0,0.5888157894736842,
BOOKKEEPER_IBkfalseNotSettrue4.csv,1,0.17333333333333334,0.2708333333333333,0.21138211382113822,0.17859697500439117,0.8625886524822697,0.40613116480430583,0.06878989170154608,0.16666666666666666,0.22916666666666666,0.2916666666666667,0.375,0.4375,0.5416666666666666,0.6041666666666666,0.7291666666666666,0.75,0.8333333333333334,0.9166666666666666,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.6625661687014195,0.16666666666666666,0.22916666666666666,0.2916666666666667,0.375,0.4375,0.5416666666666666,0.6041666666666666,0.7291666666666666,0.75,0.8333333333333334,0.9166666666666666,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.7280106759145927,0.2222222222222222,0.255813953488372,0.29166666666666674,0.375,0.4375,0.5416666666666666,0.6041666666666666,0.7291666666666666,0.75,0.8333333333333334,0.9166666666666666,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1,0.7236842105263158,
BOOKKEEPER_RandomForestfalseNotSetfalse3.csv,4,0.23684210526315788,0.16666666666666666,0.1956521739130435,0.1529973912849615,0.7253392005867255,0.2814586543400103,0.08243789346771192,0.1111111111111111,0.2037037037037037,0.3333333333333333,0.4074074074074074,0.5,0.5555555555555556,0.5555555555555556,0.6296296296296297,0.6666666666666666,0.7222222222222222,0.7592592592592593,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,1.0,0.5218106736804797,0.1111111111111111,0.2037037037037037,0.3333333333333333,0.4074074074074074,0.5,0.5555555555555556,0.5555555555555556,0.6296296296296297,0.6666666666666666,0.7222222222222222,0.7592592592592593,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,1.0,0.6080972933396757,0.16666666666666663,0.25,0.36,0.40740740740740744,0.5,0.5555555555555556,0.5555555555555556,0.6296296296296297,0.6666666666666666,0.7222222222222222,0.7592592592592593,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8124999999999999,0.6842105263157894,0.45454545454545436,0.39999999999999947,1,0.6676413255360625,
BOOKKEEPER_IBkfalseSMOTEfalse6.csv,0,0.3870967741935484,0.3,0.3380281690140845,0.3298086577009381,0.8835492227979275,0.45608947804473904,0.28159977658208407,0.25,0.325,0.525,0.65,0.7,0.8,0.8,0.825,0.85,0.875,0.9,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.7850755922063222,0.25,0.325,0.525,0.65,0.7,0.8,0.8,0.825,0.85,0.875,0.9,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.8141604010025062,0.2857142857142857,0.33333333333333337,0.525,0.65,0.7,0.8,0.8,0.825,0.85,0.875,0.9,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1,0.8118421052631578,
BOOKKEEPER_NaiveBayesfalseUnderSamplfalse2.csv,3,0.5,0.19753086419753085,0.2831858407079646,0.48723152728502794,0.9277509393451422,0.32587798610450175,0.18485139519324284,0.1375,0.175,0.2125,0.2375,0.3,0.3,0.3,0.3,0.3,0.35,0.3875,0.45,0.525,0.625,0.7375,0.7875,0.85,0.9125,1.0,0.21867180080922574,0.1375,0.175,0.2125,0.2375,0.3,0.3,0.3,0.3,0.3,0.35,0.3875,0.45,0.525,0.625,0.7375,0.7875,0.85,0.9125,1.0,0.1880650771686092,0.2558139534883721,0.2592592592592593,0.27419354838709675,0.2753623188405797,0.32432432432432434,0.3076923076923076,0.2962962962962964,0.2962962962962964,0.2962962962962964,0.345679012345679,0.382716049382716,0.21052631578947356,0.04878048780487809,0,0,0,0,0,0.0,0.4677631578947368,
BOOKKEEPER_IBktrueNotSettrue6.csv,1,0.15789473684210525,0.225,0.18556701030927836,0.15861659810097176,0.8608808290155441,0.35800870895610215,0.08623364736629387,0.15,0.2,0.35,0.55,0.625,0.75,0.8,0.8,0.85,0.9,0.925,0.975,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.7526098123721214,0.15,0.2,0.35,0.55,0.625,0.75,0.8,0.8,0.85,0.9,0.925,0.975,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.7829766724503566,0.17142857142857149,0.20512820512820518,0.35,0.55,0.625,0.75,0.8,0.8,0.85,0.9,0.925,0.975,0.975,1.0,1.0,1.0,1.0,1.0,1,0.781578947368421,
BOOKKEEPER_NaiveBayesfalseNotSettrue6.csv,2,0.5,0.05,0.09090909090909091,0.32065727699530516,0.9948186528497409,0.09521448053558146,0.13554897108286604,0.225,0.325,0.45,0.525,0.625,0.7,0.8,0.8,0.825,0.875,0.925,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.7795401966454598,0.225,0.325,0.45,0.525,0.625,0.7,0.8,0.8,0.825,0.875,0.925,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.7916040100250626,0.2571428571428571,0.33333333333333337,0.44999999999999996,0.525,0.625,0.7,0.8,0.8,0.825,0.875,0.925,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1,0.7894736842105262,
BOOKKEEPER_NaiveBayesfalseNotSetfalse2.csv,0,0.20164609053497942,0.6049382716049383,0.30246913580246915,0.1873227016060996,0.49989264626945784,0.2486958973635979,-0.25328532591457126,0.06172839506172839,0.13580246913580246,0.19753086419753085,0.2716049382716049,0.41975308641975306,0.49382716049382713,0.6049382716049383,0.654320987654321,0.6790123456790124,0.7407407407407407,0.8024691358024691,0.8641975308641975,0.9506172839506173,1.0,1.0,1.0,1.0,1.0,1.0,0.7026205634446204,0.06172839506172839,0.13580246913580246,0.19753086419753085,0.2716049382716049,0.41975308641975306,0.49382716049382713,0.6049382716049383,0.654320987654321,0.6790123456790124,0.7407407407407407,0.8024691358024691,0.8641975308641975,0.9506172839506173,1.0,1.0,1.0,1.0,1.0,1.0,0.6873739942800878,0.11627906976744184,0.20370370370370383,0.25806451612903225,0.3188405797101449,0.45945945945945943,0.5128205128205128,0.6049382716049383,0.654320987654321,0.6790123456790124,0.7407407407407407,0.8024691358024691,0.8070175438596491,0.9024390243902439,1.0,1.0,1.0,1.0,1.0,1,0.6777128005198181,
BOOKKEEPER_NaiveBayestrueNotSetfalse6.csv,1,0.5,0.025,0.047619047619047616,0.308536064874093,0.9797279792746114,0.04877739769415939,0.09562127377747519,0.275,0.375,0.375,0.525,0.6,0.725,0.75,0.775,0.825,0.875,0.925,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.7850250626566416,0.275,0.375,0.375,0.525,0.6,0.725,0.75,0.775,0.825,0.875,0.925,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.7894158473105841,0.3142857142857143,0.3846153846153846,0.375,0.525,0.6,0.725,0.75,0.775,0.825,0.875,0.925,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1,0.7868421052631579,
BOOKKEEPER_RandomForesttrueOverSamplfalse2.csv,3,0.29411764705882354,0.06172839506172839,0.10204081632653061,0.2420647710281367,0.7872249060654853,0.11590812420246704,0.01844656255560238,0.1125,0.225,0.275,0.3375,0.4,0.45,0.525,0.525,0.5625,0.6125,0.6125,0.6125,0.6125,0.6125,0.625,0.725,0.8625,0.9375,1.0,0.13193514462779934,0.1125,0.225,0.275,0.3375,0.4,0.45,0.525,0.525,0.5625,0.6125,0.6125,0.6125,0.6125,0.6125,0.625,0.725,0.8625,0.9375,1.0,0.2970172332916642,0.2093023255813954,0.33333333333333326,0.3548387096774194,0.3913043478260869,0.43243243243243246,0.46153846153846156,0.5185185185185186,0.5185185185185186,0.5555555555555556,0.6049382716049383,0.6049382716049383,0.4385964912280702,0.2195121951219513,0,0,0,0,0,0.0,0.5592105263157895,
