#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
2,56.011315417256014,NaiveBayes,false,UnderSampl,false,0.5,0.19753086419753085,0.46460010735373053,0.15915083948062378,16.0,16.0,214.0,65.0
2,56.011315417256014,RandomForest,false,UnderSampl,false,0.4482758620689655,0.48148148148148145,0.6935319377348362,0.26639408712061646,39.0,48.0,182.0,42.0
2,56.011315417256014,IBk,false,UnderSampl,false,0.391304347826087,0.3333333333333333,0.5768115942028985,0.1583220568335589,27.0,42.0,188.0,54.0
2,56.011315417256014,NaiveBayes,false,SMOTE,false,0.20754716981132076,0.6790123456790124,0.4557434245840043,-0.13482590141629044,55.0,210.0,20.0,26.0
2,56.011315417256014,RandomForest,false,SMOTE,false,0.3333333333333333,0.07407407407407407,0.6682232957595277,0.02927564309546887,6.0,12.0,218.0,75.0
2,56.011315417256014,IBk,false,SMOTE,false,0.3,0.07407407407407407,0.575577026301664,0.01746476873380414,6.0,14.0,216.0,75.0
2,56.011315417256014,NaiveBayes,false,NotSet,true,0.20446096654275092,0.6790123456790124,0.43201825013419215,-0.14352249050128693,55.0,214.0,16.0,26.0
2,56.011315417256014,RandomForest,false,NotSet,true,0.3333333333333333,0.07407407407407407,0.6717122920021471,0.02927564309546887,6.0,12.0,218.0,75.0
2,56.011315417256014,IBk,false,NotSet,true,0.3076923076923077,0.04938271604938271,0.5760064412238325,0.014081391919787566,4.0,9.0,221.0,77.0
2,56.011315417256014,NaiveBayes,true,OverSampl,false,0.4827586206896552,0.1728395061728395,0.43899624261943104,0.1358769314177282,14.0,15.0,215.0,67.0
2,56.011315417256014,RandomForest,true,OverSampl,false,0.29411764705882354,0.06172839506172839,0.6478529253891573,0.012840859904775945,5.0,12.0,218.0,76.0
2,56.011315417256014,IBk,true,OverSampl,false,0.3333333333333333,0.08641975308641975,0.5023349436392914,0.033615819209039645,7.0,14.0,216.0,74.0
2,56.011315417256014,NaiveBayes,true,UnderSampl,false,0.5263157894736842,0.12345679012345678,0.4822866344605475,0.11212618656769688,10.0,9.0,221.0,71.0
2,56.011315417256014,RandomForest,true,UnderSampl,false,0.4444444444444444,0.345679012345679,0.688593666129898,0.20851408409971678,28.0,35.0,195.0,53.0
2,56.011315417256014,IBk,true,UnderSampl,false,0.39655172413793105,0.2839506172839506,0.5705582393988191,0.14512458250820198,23.0,35.0,195.0,58.0
2,56.011315417256014,NaiveBayes,true,SMOTE,false,0.2777777777777778,0.30864197530864196,0.4577831454643049,0.025128882671433296,25.0,65.0,165.0,56.0
2,56.011315417256014,RandomForest,true,SMOTE,false,0.4,0.04938271604938271,0.6301932367149758,0.03253251377384666,4.0,6.0,224.0,77.0
2,56.011315417256014,IBk,true,SMOTE,false,0.3125,0.06172839506172839,0.5808641975308642,0.018785131459655723,5.0,11.0,219.0,76.0
2,56.011315417256014,NaiveBayes,true,NotSet,true,0.22935779816513763,0.30864197530864196,0.42584541062801934,-0.05087854798223604,25.0,84.0,146.0,56.0
2,56.011315417256014,RandomForest,true,NotSet,true,0.29411764705882354,0.06172839506172839,0.6373590982286634,0.012840859904775945,5.0,12.0,218.0,76.0
2,56.011315417256014,IBk,true,NotSet,true,0.25,0.037037037037037035,0.5751207729468599,-0.0028911375514288295,3.0,9.0,221.0,78.0
3,66.44736842105263,NaiveBayes,false,NotSet,false,0.07692307692307693,0.018518518518518517,0.7541254125412541,-0.030646235842771354,1.0,12.0,291.0,53.0
3,66.44736842105263,RandomForest,false,NotSet,false,0.23684210526315788,0.16666666666666666,0.6938027136046938,0.08079331941544889,9.0,29.0,274.0,45.0
3,66.44736842105263,IBk,false,NotSet,false,0.22950819672131148,0.25925925925925924,0.6508067473414008,0.09887718687440149,14.0,47.0,256.0,40.0
3,66.44736842105263,NaiveBayes,true,NotSet,false,0.0,0.0,0.7814142525363648,-0.0055308035028419165,0.0,1.0,302.0,54.0
3,66.44736842105263,RandomForest,true,NotSet,false,0.2702702702702703,0.18518518518518517,0.7191358024691358,0.11035063704327708,10.0,27.0,276.0,44.0
3,66.44736842105263,IBk,true,NotSet,false,0.2753623188405797,0.35185185185185186,0.677026035936927,0.16769521928741843,19.0,50.0,253.0,35.0
3,66.44736842105263,NaiveBayes,false,OverSampl,false,0.07142857142857142,0.018518518518518517,0.7011673389561178,-0.03505535055350578,1.0,13.0,290.0,53.0
3,66.44736842105263,RandomForest,false,OverSampl,false,0.20512820512820512,0.2962962962962963,0.6400501161227233,0.07751937984496138,16.0,62.0,241.0,38.0
3,66.44736842105263,IBk,false,OverSampl,false,0.2159090909090909,0.35185185185185186,0.5965346534653465,0.09861616897305173,19.0,69.0,234.0,35.0
3,66.44736842105263,NaiveBayes,false,UnderSampl,false,0.08333333333333333,0.018518518518518517,0.7117406185062951,-0.0261385071409325,1.0,11.0,292.0,53.0
3,66.44736842105263,RandomForest,false,UnderSampl,false,0.21359223300970873,0.4074074074074074,0.637972130546388,0.10203672787979957,22.0,81.0,222.0,32.0
3,66.44736842105263,IBk,false,UnderSampl,false,0.20149253731343283,0.5,0.609308153037526,0.09129245498062448,27.0,107.0,196.0,27.0
3,66.44736842105263,NaiveBayes,false,SMOTE,false,0.06666666666666667,0.018518518518518517,0.7364319765309865,-0.03936905227480118,1.0,14.0,289.0,53.0
3,66.44736842105263,RandomForest,false,SMOTE,false,0.17307692307692307,0.16666666666666666,0.6340606282850507,0.025134984174269178,9.0,43.0,260.0,45.0
3,66.44736842105263,IBk,false,SMOTE,false,0.208955223880597,0.25925925925925924,0.6408140814081408,0.0767498122966548,14.0,53.0,250.0,40.0
3,66.44736842105263,NaiveBayes,false,NotSet,true,0.07142857142857142,0.018518518518518517,0.7541254125412541,-0.03505535055350578,1.0,13.0,290.0,53.0
3,66.44736842105263,RandomForest,false,NotSet,true,0.23015873015873015,0.5370370370370371,0.6292934849040459,0.14013266998341622,29.0,97.0,206.0,25.0
3,66.44736842105263,IBk,false,NotSet,true,0.17721518987341772,0.25925925925925924,0.6508067473414008,0.03758761457290309,14.0,65.0,238.0,40.0
3,66.44736842105263,NaiveBayes,true,OverSampl,false,0.375,0.1111111111111111,0.7164160860530497,0.10987877224658271,6.0,10.0,293.0,48.0
3,66.44736842105263,RandomForest,true,OverSampl,false,0.2235294117647059,0.35185185185185186,0.6560933871164895,0.10844892812105919,19.0,66.0,237.0,35.0
3,66.44736842105263,IBk,true,OverSampl,false,0.24444444444444444,0.4074074074074074,0.6312492360347146,0.1436384571099598,22.0,68.0,235.0,32.0
3,66.44736842105263,NaiveBayes,true,UnderSampl,false,0.4,0.14814814814814814,0.7358208043026525,0.14642592134553542,8.0,12.0,291.0,46.0
3,66.44736842105263,RandomForest,true,UnderSampl,false,0.24545454545454545,0.5,0.6491565823248991,0.15852404217022362,27.0,83.0,220.0,27.0
3,66.44736842105263,IBk,true,UnderSampl,false,0.21951219512195122,0.5,0.6414252536364747,0.1201082055906222,27.0,96.0,207.0,27.0
3,66.44736842105263,NaiveBayes,true,SMOTE,false,1.0,0.018518518518518517,0.7716049382716049,0.031033952988170386,1.0,0.0,303.0,53.0
3,66.44736842105263,RandomForest,true,SMOTE,false,0.2676056338028169,0.35185185185185186,0.6585991932526586,0.15959087588278267,19.0,52.0,251.0,35.0
3,66.44736842105263,IBk,true,SMOTE,false,0.24390243902439024,0.37037037037037035,0.665933259992666,0.136638452237001,20.0,62.0,241.0,34.0
3,66.44736842105263,NaiveBayes,true,NotSet,true,0.5,0.018518518518518517,0.7814142525363648,0.02518203883495121,1.0,1.0,302.0,53.0
3,66.44736842105263,RandomForest,true,NotSet,true,0.25203252032520324,0.5740740740740741,0.648362058428065,0.17733694018635415,31.0,92.0,211.0,23.0
3,66.44736842105263,IBk,true,NotSet,true,0.21839080459770116,0.35185185185185186,0.677026035936927,0.10185388730123855,19.0,68.0,235.0,35.0
4,73.83761276891047,NaiveBayes,false,NotSet,false,0.3333333333333333,0.020833333333333332,0.8520453394123607,0.02460531179048493,1.0,2.0,327.0,47.0
4,73.83761276891047,RandomForest,false,NotSet,false,0.4117647058823529,0.2916666666666667,0.7292616514690983,0.26372513562386973,14.0,20.0,309.0,34.0
4,73.83761276891047,IBk,false,NotSet,false,0.29545454545454547,0.2708333333333333,0.677716565349544,0.18312541037426136,13.0,31.0,298.0,35.0
4,73.83761276891047,NaiveBayes,true,NotSet,false,0.5,0.041666666666666664,0.8425468591691996,0.05848074921956302,2.0,2.0,327.0,46.0
4,73.83761276891047,RandomForest,true,NotSet,false,0.46153846153846156,0.375,0.7256838905775076,0.3382550335570471,18.0,21.0,308.0,30.0
4,73.83761276891047,IBk,true,NotSet,false,0.2926829268292683,0.25,0.6665400202634245,0.1726035722726814,12.0,29.0,300.0,36.0
4,73.83761276891047,NaiveBayes,false,OverSampl,false,0.25,0.020833333333333332,0.8348214285714286,0.019250780437044916,1.0,3.0,326.0,47.0
4,73.83761276891047,RandomForest,false,OverSampl,false,0.3125,0.4166666666666667,0.7023176291793313,0.24767184035476708,20.0,44.0,285.0,28.0
4,73.83761276891047,IBk,false,OverSampl,false,0.25396825396825395,0.3333333333333333,0.6623923505572442,0.16804938685438128,16.0,47.0,282.0,32.0
4,73.83761276891047,NaiveBayes,false,UnderSampl,false,0.16666666666666666,0.020833333333333332,0.7505699088145896,0.00899807906177283,1.0,5.0,324.0,47.0
4,73.83761276891047,RandomForest,false,UnderSampl,false,0.23958333333333334,0.4791666666666667,0.7177051671732523,0.1802893148739794,23.0,73.0,256.0,25.0
4,73.83761276891047,IBk,false,UnderSampl,false,0.2037037037037037,0.4583333333333333,0.6234802431610942,0.12839567335480118,22.0,86.0,243.0,26.0
4,73.83761276891047,NaiveBayes,false,SMOTE,false,0.4,0.041666666666666664,0.8538183890577508,0.05271524537203193,2.0,3.0,326.0,46.0
4,73.83761276891047,RandomForest,false,SMOTE,false,0.38461538461538464,0.4166666666666667,0.7233725937183384,0.3084260731319554,20.0,32.0,297.0,28.0
4,73.83761276891047,IBk,false,SMOTE,false,0.2653061224489796,0.2708333333333333,0.6742971124620061,0.1599874470422093,13.0,36.0,293.0,35.0
4,73.83761276891047,NaiveBayes,false,NotSet,true,0.4,0.041666666666666664,0.8520453394123607,0.05271524537203193,2.0,3.0,326.0,46.0
4,73.83761276891047,RandomForest,false,NotSet,true,0.23333333333333334,0.5833333333333334,0.6927241641337386,0.1851165663115638,28.0,92.0,237.0,20.0
4,73.83761276891047,IBk,false,NotSet,true,0.17333333333333334,0.2708333333333333,0.677716565349544,0.06642669321692073,13.0,62.0,267.0,35.0
4,73.83761276891047,NaiveBayes,true,OverSampl,false,0.5,0.08333333333333333,0.8188956433637284,0.11049941014549756,4.0,4.0,325.0,44.0
4,73.83761276891047,RandomForest,true,OverSampl,false,0.2878787878787879,0.3958333333333333,0.6933573961499493,0.21805578298127834,19.0,47.0,282.0,29.0
4,73.83761276891047,IBk,true,OverSampl,false,0.21875,0.2916666666666667,0.6321555217831814,0.12228381374722819,14.0,50.0,279.0,34.0
4,73.83761276891047,NaiveBayes,true,UnderSampl,false,0.5714285714285714,0.08333333333333333,0.8399822695035462,0.11683197926531393,4.0,3.0,326.0,44.0
4,73.83761276891047,RandomForest,true,UnderSampl,false,0.2826086956521739,0.5416666666666666,0.7305914387031408,0.24510785473741703,26.0,66.0,263.0,22.0
4,73.83761276891047,IBk,true,UnderSampl,false,0.21153846153846154,0.4583333333333333,0.6396909827760892,0.13956043956043954,22.0,82.0,247.0,26.0
4,73.83761276891047,NaiveBayes,true,SMOTE,false,0.5714285714285714,0.08333333333333333,0.8474860688956434,0.11683197926531393,4.0,3.0,326.0,44.0
4,73.83761276891047,RandomForest,true,SMOTE,false,0.37735849056603776,0.4166666666666667,0.715742147922999,0.30288884173512354,20.0,33.0,296.0,28.0
4,73.83761276891047,IBk,true,SMOTE,false,0.2826086956521739,0.2708333333333333,0.67040273556231,0.17361872219715002,13.0,33.0,296.0,35.0
4,73.83761276891047,NaiveBayes,true,NotSet,true,0.5714285714285714,0.08333333333333333,0.8425468591691996,0.11683197926531393,4.0,3.0,326.0,44.0
4,73.83761276891047,RandomForest,true,NotSet,true,0.22807017543859648,0.5416666666666666,0.6938006585612969,0.17275084779573116,26.0,88.0,241.0,22.0
4,73.83761276891047,IBk,true,NotSet,true,0.1643835616438356,0.25,0.6665400202634245,0.052837421326633716,12.0,61.0,268.0,36.0
5,77.80777537796976,NaiveBayes,false,NotSet,false,0.3333333333333333,0.017857142857142856,0.8114939637826962,0.02032367331576925,1.0,2.0,353.0,55.0
5,77.80777537796976,RandomForest,false,NotSet,false,0.4642857142857143,0.23214285714285715,0.7008802816901408,0.24053778514081786,13.0,15.0,340.0,43.0
5,77.80777537796976,IBk,false,NotSet,false,0.47058823529411764,0.2857142857142857,0.7178822937625755,0.2815984569947559,16.0,18.0,337.0,40.0
5,77.80777537796976,NaiveBayes,true,NotSet,false,0.3333333333333333,0.017857142857142856,0.7716800804828974,0.02032367331576925,1.0,2.0,353.0,55.0
5,77.80777537796976,RandomForest,true,NotSet,false,0.5625,0.32142857142857145,0.7089034205231388,0.3440952614780262,18.0,14.0,341.0,38.0
5,77.80777537796976,IBk,true,NotSet,false,0.4838709677419355,0.26785714285714285,0.7125,0.2743689019668576,15.0,16.0,339.0,41.0
5,77.80777537796976,NaiveBayes,false,OverSampl,false,0.3333333333333333,0.017857142857142856,0.795020120724346,0.02032367331576925,1.0,2.0,353.0,55.0
5,77.80777537796976,RandomForest,false,OverSampl,false,0.328125,0.375,0.6792505030181086,0.23946669197191134,21.0,43.0,312.0,35.0
5,77.80777537796976,IBk,false,OverSampl,false,0.26153846153846155,0.30357142857142855,0.6555835010060362,0.15768768698028324,17.0,48.0,307.0,39.0
5,77.80777537796976,NaiveBayes,false,UnderSampl,false,0.5555555555555556,0.08928571428571429,0.7641096579476861,0.12066752246469857,5.0,4.0,351.0,51.0
5,77.80777537796976,RandomForest,false,UnderSampl,false,0.2719298245614035,0.5535714285714286,0.6979879275653924,0.2226541977513923,31.0,83.0,272.0,25.0
5,77.80777537796976,IBk,false,UnderSampl,false,0.19642857142857142,0.39285714285714285,0.6283199195171026,0.0980461560243525,22.0,90.0,265.0,34.0
5,77.80777537796976,NaiveBayes,false,SMOTE,false,0.5714285714285714,0.07142857142857142,0.8133299798792757,0.09972519813612675,4.0,3.0,352.0,52.0
5,77.80777537796976,RandomForest,false,SMOTE,false,0.4857142857142857,0.30357142857142855,0.7042505030181087,0.30028971655565834,17.0,18.0,337.0,39.0
5,77.80777537796976,IBk,false,SMOTE,false,0.4358974358974359,0.30357142857142855,0.7207997987927566,0.27701358248983465,17.0,22.0,333.0,39.0
5,77.80777537796976,NaiveBayes,false,NotSet,true,0.4,0.03571428571428571,0.8114939637826962,0.04422504181795885,2.0,3.0,352.0,54.0
5,77.80777537796976,RandomForest,false,NotSet,true,0.24545454545454545,0.48214285714285715,0.6704979879275654,0.1766178943226131,27.0,83.0,272.0,29.0
5,77.80777537796976,IBk,false,NotSet,true,0.2361111111111111,0.30357142857142855,0.7178822937625755,0.1326778017241378,17.0,55.0,300.0,39.0
