@relation /TRAINING-SET2.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
55,56,18.666666,56,1,0.33333334,1,57,19.0,57,55,18.333334,55,3,0,1,NO
41,42,14.0,42,1,0.33333334,1,43,14.333333,43,41,13.666667,41,3,0,1,NO
99,100,33.333332,100,1,0.33333334,1,101,33.666668,101,99,33.0,99,3,0,1,NO
75,80,20.0,80,5,1.25,5,85,21.25,85,75,18.75,75,4,0,1,NO
40,41,13.666667,41,1,0.33333334,1,42,14.0,42,40,13.333333,40,3,0,1,NO
35,36,12.0,36,1,0.33333334,1,37,12.333333,37,35,11.666667,35,3,0,1,NO
39,40,13.333333,40,1,0.33333334,1,41,13.666667,41,39,13.0,39,3,0,1,NO
101,103,34.333332,103,2,0.6666667,2,105,35.0,105,101,33.666668,101,3,0,1,NO
508,512,128.0,512,4,1.0,4,516,129.0,516,508,127.0,508,4,0,1,NO
47,48,16.0,48,1,0.33333334,1,49,16.333334,49,47,15.666667,47,3,0,1,NO
142,143,47.666668,143,1,0.33333334,1,144,48.0,144,142,47.333332,142,3,0,1,NO
106,107,35.666668,107,1,0.33333334,1,108,36.0,108,106,35.333332,106,3,0,1,NO
62,65,16.25,65,3,0.75,3,68,17.0,68,62,15.5,62,4,0,1,NO
210,211,70.333336,211,1,0.33333334,1,212,70.666664,212,210,70.0,210,3,0,1,NO
525,550,137.5,550,25,6.25,25,575,143.75,575,525,131.25,525,4,0,1,NO
88,89,29.666666,89,1,0.33333334,1,90,30.0,90,88,29.333334,88,3,0,1,NO
833,835,278.33334,835,2,0.6666667,2,837,279.0,837,833,277.66666,833,3,0,1,NO
457,458,152.66667,458,1,0.33333334,1,459,153.0,459,457,152.33333,457,3,0,1,NO
99,100,33.333332,100,1,0.33333334,1,101,33.666668,101,99,33.0,99,3,0,1,NO
151,152,50.666668,152,1,0.33333334,1,153,51.0,153,151,50.333332,151,3,0,1,NO
52,61,20.333334,61,9,3.0,9,70,23.333334,70,52,17.333334,52,3,0,1,NO
1031,1220,71.76471,1220,189,11.117647,189,1409,82.882355,1409,1035,60.882355,1035,17,0,4,NO
