RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,LOC_TOUCHED,LOC_TOUCHED_AVG,LOC_TOUCHED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java,55,67,16.75,67,12,3.0,12,79,19.75,79,55,13.75,55,4,0,2,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableQuorumPeer.java,115,166,23.714285,166,51,7.285714,51,217,31.0,217,131,18.714285,131,7,0,3,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ConnectionObserver.java,38,45,15.0,45,7,2.3333333,7,52,17.333334,52,38,12.666667,38,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/DataTreeObserver.java,53,61,20.333334,61,8,2.6666667,8,69,23.0,69,53,17.666666,53,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,30,36,12.0,36,6,2.0,6,42,14.0,42,30,10.0,30,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java,34,40,13.333333,40,6,2.0,6,46,15.333333,46,34,11.333333,34,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,95,101,33.666668,101,6,2.0,6,107,35.666668,107,95,31.666666,95,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/QuorumPeerObserver.java,69,78,26.0,78,9,3.0,9,87,29.0,87,69,23.0,69,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,38,45,15.0,45,7,2.3333333,7,52,17.333334,52,38,12.666667,38,3,0,1,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ZooKeeperObserverManager.java,61,71,23.666666,71,10,3.3333333,10,81,27.0,81,61,20.333334,61,3,0,1,NO
1,src/java/main/org/apache/jute/BinaryInputArchive.java,132,133,44.333332,133,1,0.33333334,1,134,44.666668,134,132,44.0,132,3,0,1,NO
1,src/java/main/org/apache/jute/BinaryOutputArchive.java,149,150,50.0,150,1,0.33333334,1,151,50.333332,151,149,49.666668,149,3,0,1,NO
1,src/java/main/org/apache/jute/CsvInputArchive.java,210,211,70.333336,211,1,0.33333334,1,212,70.666664,212,210,70.0,210,3,0,1,NO
1,src/java/main/org/apache/jute/CsvOutputArchive.java,151,152,38.0,152,1,0.25,1,153,38.25,153,151,37.75,151,4,0,2,NO
1,src/java/main/org/apache/jute/Index.java,39,40,13.333333,40,1,0.33333334,1,41,13.666667,41,39,13.0,39,3,0,1,NO
1,src/java/main/org/apache/jute/InputArchive.java,45,46,15.333333,46,1,0.33333334,1,47,15.666667,47,45,15.0,45,3,0,1,NO
1,src/java/main/org/apache/jute/OutputArchive.java,48,49,16.333334,49,1,0.33333334,1,50,16.666666,50,48,16.0,48,3,0,1,NO
1,src/java/main/org/apache/jute/Record.java,33,34,11.333333,34,1,0.33333334,1,35,11.666667,35,33,11.0,33,3,0,1,NO
1,src/java/main/org/apache/jute/RecordReader.java,98,99,33.0,99,1,0.33333334,1,100,33.333332,100,98,32.666668,98,3,0,1,NO
1,src/java/main/org/apache/jute/RecordWriter.java,117,118,39.333332,118,1,0.33333334,1,119,39.666668,119,117,39.0,117,3,0,1,NO
1,src/java/main/org/apache/jute/Utils.java,278,281,70.25,281,3,0.75,3,284,71.0,284,278,69.5,278,4,0,2,YES
1,src/java/main/org/apache/jute/XmlInputArchive.java,251,252,84.0,252,1,0.33333334,1,253,84.333336,253,251,83.666664,251,3,0,1,NO
1,src/java/main/org/apache/jute/XmlOutputArchive.java,252,253,84.333336,253,1,0.33333334,1,254,84.666664,254,252,84.0,252,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/CGenerator.java,88,92,30.666666,92,4,1.3333334,4,96,32.0,96,88,29.333334,88,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/CppGenerator.java,83,87,21.75,87,4,1.0,4,91,22.75,91,83,20.75,83,4,0,1,NO
1,src/java/main/org/apache/jute/compiler/JBoolean.java,43,44,14.666667,44,1,0.33333334,1,45,15.0,45,43,14.333333,43,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JBuffer.java,107,114,38.0,114,7,2.3333333,7,121,40.333332,121,107,35.666668,107,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JByte.java,35,36,12.0,36,1,0.33333334,1,37,12.333333,37,35,11.666667,35,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JCompType.java,55,56,18.666666,56,1,0.33333334,1,57,19.0,57,55,18.333334,55,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JDouble.java,41,42,14.0,42,1,0.33333334,1,43,14.333333,43,41,13.666667,41,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JField.java,99,100,33.333332,100,1,0.33333334,1,101,33.666668,101,99,33.0,99,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JFile.java,75,80,20.0,80,5,1.25,5,85,21.25,85,75,18.75,75,4,0,1,NO
1,src/java/main/org/apache/jute/compiler/JFloat.java,40,41,13.666667,41,1,0.33333334,1,42,14.0,42,40,13.333333,40,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JInt.java,35,36,12.0,36,1,0.33333334,1,37,12.333333,37,35,11.666667,35,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JLong.java,39,40,13.333333,40,1,0.33333334,1,41,13.666667,41,39,13.0,39,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JMap.java,101,103,34.333332,103,2,0.6666667,2,105,35.0,105,101,33.666668,101,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JRecord.java,508,512,128.0,512,4,1.0,4,516,129.0,516,508,127.0,508,4,0,1,NO
1,src/java/main/org/apache/jute/compiler/JString.java,47,48,16.0,48,1,0.33333334,1,49,16.333334,49,47,15.666667,47,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JType.java,142,143,47.666668,143,1,0.33333334,1,144,48.0,144,142,47.333332,142,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JVector.java,106,107,35.666668,107,1,0.33333334,1,108,36.0,108,106,35.333332,106,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/JavaGenerator.java,62,65,16.25,65,3,0.75,3,68,17.0,68,62,15.5,62,4,0,1,NO
1,src/java/main/org/apache/jute/compiler/generated/ParseException.java,210,211,70.333336,211,1,0.33333334,1,212,70.666664,212,210,70.0,210,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/generated/Rcc.java,525,550,137.5,550,25,6.25,25,575,143.75,575,525,131.25,525,4,0,1,NO
1,src/java/main/org/apache/jute/compiler/generated/RccConstants.java,88,89,29.666666,89,1,0.33333334,1,90,30.0,90,88,29.333334,88,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,833,835,278.33334,835,2,0.6666667,2,837,279.0,837,833,277.66666,833,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,457,458,152.66667,458,1,0.33333334,1,459,153.0,459,457,152.33333,457,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/generated/Token.java,99,100,33.333332,100,1,0.33333334,1,101,33.666668,101,99,33.0,99,3,0,1,NO
1,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,151,152,50.666668,152,1,0.33333334,1,153,51.0,153,151,50.333332,151,3,0,1,NO
1,src/java/main/org/apache/zookeeper/AsyncCallback.java,52,61,20.333334,61,9,3.0,9,70,23.333334,70,52,17.333334,52,3,0,1,NO
1,src/java/main/org/apache/zookeeper/ClientCnxn.java,1031,1220,71.76471,1220,189,11.117647,189,1409,82.882355,1409,1035,60.882355,1035,17,0,4,YES
1,src/java/main/org/apache/zookeeper/ClientWatchManager.java,39,44,14.666667,44,5,1.6666666,5,49,16.333334,49,45,15.0,45,3,0,2,NO
1,src/java/main/org/apache/zookeeper/CreateMode.java,89,89,89.0,89,0,0.0,0,89,89.0,89,89,89.0,89,1,0,1,NO
1,src/java/main/org/apache/zookeeper/KeeperException.java,336,343,85.75,343,7,1.75,7,350,87.5,350,336,84.0,336,4,0,1,YES
1,src/java/main/org/apache/zookeeper/ServerAdminClient.java,312,603,120.6,603,291,58.2,291,894,178.8,894,312,62.4,312,5,0,2,NO
1,src/java/main/org/apache/zookeeper/Version.java,78,87,29.0,87,9,3.0,9,96,32.0,96,78,26.0,78,3,0,1,NO
1,src/java/main/org/apache/zookeeper/WatchedEvent.java,81,83,41.5,83,2,1.0,2,85,42.5,85,81,40.5,81,2,0,1,NO
1,src/java/main/org/apache/zookeeper/Watcher.java,107,134,22.333334,134,27,4.5,27,161,26.833334,161,111,18.5,111,6,0,1,NO
1,src/java/main/org/apache/zookeeper/ZooDefs.java,112,127,21.166666,127,15,2.5,15,142,23.666666,142,124,20.666666,124,6,0,2,NO
1,src/java/main/org/apache/zookeeper/ZooKeeper.java,1030,1558,86.55556,1558,528,29.333334,528,2086,115.888885,2086,1440,80.0,1440,18,0,3,NO
1,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,232,246,41.0,246,14,2.3333333,14,260,43.333332,260,236,39.333332,236,6,0,2,NO
1,src/java/main/org/apache/zookeeper/server/ByteBufferInputStream.java,72,79,26.333334,79,7,2.3333333,7,86,28.666666,86,72,24.0,72,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/DataNode.java,125,164,18.222221,164,39,4.3333335,39,203,22.555555,203,149,16.555555,149,9,0,3,NO
1,src/java/main/org/apache/zookeeper/server/DataTree.java,798,865,61.785713,865,67,4.785714,67,932,66.57143,932,806,57.57143,806,14,0,3,YES
1,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,265,305,33.88889,305,40,4.4444447,40,345,38.333332,345,267,29.666666,267,9,0,4,NO
1,src/java/main/org/apache/zookeeper/server/LogFormatter.java,72,84,21.0,84,12,3.0,12,96,24.0,96,72,18.0,72,4,0,2,NO
1,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,873,1767,160.63637,1767,894,81.27273,894,2661,241.90909,2661,873,79.36364,873,11,0,4,NO
1,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,460,509,42.416668,509,49,4.0833335,49,558,46.5,558,466,38.833332,466,12,0,4,NO
1,src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,94,208,41.6,208,114,22.8,114,322,64.4,322,94,18.8,94,5,0,2,YES
1,src/java/main/org/apache/zookeeper/server/Request.java,197,224,32.0,224,27,3.857143,27,251,35.857143,251,199,28.428572,199,7,0,4,NO
1,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,37,44,14.666667,44,7,2.3333333,7,51,17.0,51,37,12.333333,37,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,78,91,18.2,91,13,2.6,13,104,20.8,104,78,15.6,78,5,0,1,NO
1,src/java/main/org/apache/zookeeper/server/ServerConfig.java,69,104,26.0,104,35,8.75,35,139,34.75,139,69,17.25,69,4,0,1,NO
1,src/java/main/org/apache/zookeeper/server/ServerStats.java,140,148,37.0,148,8,2.0,8,156,39.0,156,140,35.0,140,4,0,2,NO
1,src/java/main/org/apache/zookeeper/server/SessionTracker.java,58,66,22.0,66,8,2.6666667,8,74,24.666666,74,58,19.333334,58,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java,219,240,48.0,240,21,4.2,21,261,52.2,261,225,45.0,225,5,0,3,NO
1,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,132,584,73.0,584,452,56.5,452,1036,129.5,1036,434,54.25,434,8,0,4,NO
1,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,119,129,32.25,129,10,2.5,10,139,34.75,139,119,29.75,119,4,0,2,NO
1,src/java/main/org/apache/zookeeper/server/WatchManager.java,113,131,26.2,131,18,3.6,18,149,29.8,149,113,22.6,113,5,0,1,NO
1,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,610,1208,100.666664,1208,598,49.833332,598,1806,150.5,1806,1370,114.166664,1370,12,0,4,NO
1,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,80,84,42.0,84,4,2.0,4,88,44.0,88,80,40.0,80,2,0,2,NO
1,src/java/main/org/apache/zookeeper/server/ZooTrace.java,92,193,38.6,193,101,20.2,101,294,58.8,294,92,18.4,92,5,0,2,NO
1,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,81,89,29.666666,89,8,2.6666667,8,97,32.333332,97,81,27.0,81,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,127,264,66.0,264,137,34.25,137,401,100.25,401,127,31.75,127,4,0,1,NO
1,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,67,77,25.666666,77,10,3.3333333,10,87,29.0,87,67,22.333334,67,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,115,125,41.666668,125,10,3.3333333,10,135,45.0,135,115,38.333332,115,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,78,157,31.4,157,79,15.8,79,236,47.2,236,78,15.6,78,5,0,2,NO
1,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,159,170,34.0,170,11,2.2,11,181,36.2,181,159,31.8,159,5,0,3,YES
1,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,485,491,122.75,491,6,1.5,6,497,124.25,497,485,121.25,485,4,0,2,YES
1,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,246,254,63.5,254,8,2.0,8,262,65.5,262,246,61.5,246,4,0,3,YES
1,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,60,61,30.5,61,1,0.5,1,62,31.0,62,60,30.0,60,2,0,2,NO
1,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,114,115,115.0,115,0,0.0,0,115,115.0,115,115,115.0,115,1,0,1,NO
1,src/java/main/org/apache/zookeeper/server/persistence/Util.java,305,337,112.333336,337,32,10.666667,32,369,123.0,369,367,122.333336,367,3,0,3,YES
1,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,45,54,18.0,54,9,3.0,9,63,21.0,63,45,15.0,45,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,898,1850,231.25,1850,952,119.0,952,2802,350.25,2802,922,115.25,922,8,0,3,NO
1,src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java,189,393,56.142857,393,204,29.142857,204,597,85.28571,597,197,28.142857,197,7,0,4,YES
1,src/java/main/org/apache/zookeeper/server/quorum/Election.java,26,29,7.25,29,3,0.75,3,32,8.0,32,26,6.5,26,4,0,2,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,626,771,70.09091,771,145,13.181818,145,916,83.27273,916,668,60.727272,668,11,0,4,NO
1,src/java/main/org/apache/zookeeper/server/quorum/Follower.java,378,786,87.333336,786,408,45.333332,408,1194,132.66667,1194,378,42.0,378,9,0,3,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FollowerHandler.java,395,824,91.55556,824,429,47.666668,429,1253,139.22223,1253,397,44.11111,397,9,0,4,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,107,119,17.0,119,12,1.7142857,12,131,18.714285,131,107,15.285714,107,7,0,4,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,85,94,31.333334,94,9,3.0,9,103,34.333332,103,85,28.333334,85,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,34,34,17.0,34,0,0.0,0,34,17.0,34,34,17.0,34,2,0,2,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java,177,209,23.222221,209,32,3.5555556,32,241,26.777779,241,185,20.555555,185,9,0,4,NO
1,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,633,735,81.666664,735,102,11.333333,102,837,93.0,837,637,70.77778,637,9,0,4,NO
1,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,194,215,30.714285,215,21,3.0,21,236,33.714287,236,194,27.714285,194,7,0,3,NO
1,src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,88,106,17.666666,106,18,3.0,18,124,20.666666,124,88,14.666667,88,6,0,3,NO
1,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,76,102,20.4,102,26,5.2,26,128,25.6,128,90,18.0,90,5,0,3,NO
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,564,768,128.0,768,204,34.0,204,972,162.0,972,694,115.666664,694,6,0,3,NO
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,590,1511,107.92857,1511,921,65.78571,921,2432,173.71428,2432,768,54.857143,768,14,0,4,YES
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,230,470,58.75,470,240,30.0,240,710,88.75,710,232,29.0,232,8,0,2,NO
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,110,117,39.0,117,7,2.3333333,7,124,41.333332,124,114,38.0,114,3,0,2,NO
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,81,115,23.0,115,34,6.8,34,149,29.8,149,81,16.2,81,5,0,2,NO
1,src/java/main/org/apache/zookeeper/server/quorum/SendAckRequestProcessor.java,54,64,21.333334,64,10,3.3333333,10,74,24.666666,74,54,18.0,54,3,0,1,NO
1,src/java/main/org/apache/zookeeper/server/quorum/Vote.java,69,77,15.4,77,8,1.6,8,85,17.0,85,69,13.8,69,5,0,2,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,129,129,129.0,129,0,0.0,0,129,129.0,129,129,129.0,129,1,0,1,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,582,582,582.0,582,0,0.0,0,582,582.0,582,582,582.0,582,1,0,1,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,181,181,181.0,181,0,0.0,0,181,181.0,181,181,181.0,181,1,0,1,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,33,33,33.0,33,0,0.0,0,33,33.0,33,33,33.0,33,1,0,1,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,323,323,323.0,323,0,0.0,0,323,323.0,323,323,323.0,323,1,0,1,YES
1,src/java/main/org/apache/zookeeper/server/util/Profiler.java,40,87,21.75,87,47,11.75,47,134,33.5,134,40,10.0,40,4,0,1,NO
1,src/java/main/org/apache/zookeeper/server/util/SerializeUtils.java,105,105,105.0,105,0,0.0,0,105,105.0,105,105,105.0,105,1,0,1,NO
1,src/java/main/org/apache/zookeeper/version/util/VerGen.java,120,167,27.833334,167,47,7.8333335,47,214,35.666668,214,120,20.0,120,6,0,2,YES
2,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,29,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
2,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,175,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
2,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,36,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
2,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,112,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
2,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,68,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
2,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,88,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
2,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,46,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
2,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,117,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
2,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,74,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
