TicketKey,CreationDate,ResolutionDate, OV,FV,AV
ZOOKEEPER-3931,2020-09-09,2021-04-04,41,44,0
ZOOKEEPER-3920,2020-08-26,2020-09-10,41,42,1
ZOOKEEPER-3911,2020-08-15,2020-11-12,41,42,8
ZOOKEEPER-3908,2020-08-04,2022-05-04,41,46,3
ZOOKEEPER-3905,2020-08-03,2020-08-08,41,41,2
ZOOKEEPER-3895,2020-07-23,2020-07-29,41,41,1
ZOOKEEPER-3891,2020-07-15,2020-07-29,41,41,0
ZOOKEEPER-3885,2020-07-13,2020-07-31,41,41,2
ZOOKEEPER-3878,2020-07-03,2020-07-13,41,41,0
ZOOKEEPER-3877,2020-07-03,2021-03-02,41,43,0
ZOOKEEPER-3876,2020-07-03,2020-07-29,41,41,0
ZOOKEEPER-3865,2020-06-16,2020-06-19,41,41,0
ZOOKEEPER-3863,2020-06-15,2020-09-17,41,42,0
ZOOKEEPER-3832,2020-05-18,2020-05-21,41,41,2
ZOOKEEPER-3829,2020-05-15,2020-06-03,41,41,2
ZOOKEEPER-3818,2020-05-06,2020-05-12,40,41,1
ZOOKEEPER-3803,2020-04-20,2020-06-25,39,41,1
ZOOKEEPER-3801,2020-04-18,2020-08-29,39,41,0
ZOOKEEPER-3793,2020-04-10,2020-04-12,39,39,0
ZOOKEEPER-3792,2020-04-10,2020-05-21,39,41,1
ZOOKEEPER-3782,2020-04-01,2020-04-08,39,39,0
ZOOKEEPER-3781,2020-04-01,2021-03-06,39,43,0
ZOOKEEPER-3780,2020-04-01,2020-04-07,39,39,2
ZOOKEEPER-3769,2020-03-24,2020-04-07,39,39,1
ZOOKEEPER-3760,2020-03-17,2020-03-26,39,39,1
ZOOKEEPER-3758,2020-03-16,2020-03-19,39,39,0
ZOOKEEPER-3756,2020-03-11,2020-03-23,39,39,2
ZOOKEEPER-3748,2020-03-07,2020-03-14,39,39,0
ZOOKEEPER-3746,2020-03-05,2020-03-07,39,39,0
ZOOKEEPER-3745,2020-03-05,2020-03-14,39,39,0
ZOOKEEPER-3739,2020-02-25,2020-03-20,39,39,0
ZOOKEEPER-3738,2020-02-25,2020-04-15,39,39,0
ZOOKEEPER-3737,2020-02-25,2020-03-01,39,39,2
ZOOKEEPER-3726,2020-02-13,2020-04-11,38,39,1
ZOOKEEPER-3719,2020-02-07,2020-02-09,38,38,1
ZOOKEEPER-3718,2020-02-07,2020-02-10,38,38,1
ZOOKEEPER-3716,2020-02-03,2020-02-04,38,38,2
ZOOKEEPER-3710,2020-01-31,2020-01-31,38,38,0
ZOOKEEPER-3706,2020-01-25,2020-03-03,38,39,2
ZOOKEEPER-3701,2020-01-20,2021-01-06,38,42,2
ZOOKEEPER-3699,2020-01-18,2020-01-23,38,38,2
ZOOKEEPER-3698,2020-01-17,2020-01-23,38,38,0
ZOOKEEPER-3674,2020-01-06,2020-02-18,38,39,2
ZOOKEEPER-3667,2019-12-27,2020-01-20,38,38,1
ZOOKEEPER-3656,2019-12-19,2020-01-07,38,38,0
